Timestamp,Host,Status,LatencyMs
2026-08-26 06:47:18,8.8.8.8,UP,33
2026-08-26 06:47:18,1.1.1.1,UP,32
2026-08-26 06:47:18,192.168.1.1,DOWN,
2026-08-26 06:47:18,google.com,UP,48
2026-08-26 06:49:26,8.8.8.8,UP,41
2026-08-26 06:49:26,1.1.1.1,UP,32
2026-08-26 06:49:26,192.168.1.1,DOWN,
2026-08-26 06:49:26,google.com,UP,62
2026-08-26 06:51:31,8.8.8.8,UP,51
2026-08-26 06:51:31,1.1.1.1,UP,110
2026-08-26 06:51:31,192.168.1.1,DOWN,
2026-08-26 06:51:31,google.com,UP,140
2026-08-26 06:53:33,8.8.8.8,UP,40
2026-08-26 06:53:33,1.1.1.1,UP,38
2026-08-26 06:53:33,192.168.1.1,DOWN,
2026-08-26 06:53:33,google.com,UP,50
2026-08-26 06:57:25,8.8.8.8,UP,36
2026-08-26 06:57:25,1.1.1.1,UP,35
2026-08-26 06:57:25,192.168.1.1,DOWN,
2026-08-26 06:57:25,google.com,UP,66
2026-08-28 21:29:20,8.8.8.8,UP,51
2026-08-28 21:29:20,1.1.1.1,UP,122
2026-08-28 21:29:20,192.168.1.1,DOWN,
2026-08-28 21:29:20,google.com,UP,64
2026-08-28 21:31:23,8.8.8.8,UP,45
2026-08-28 21:31:23,1.1.1.1,UP,44
2026-08-28 21:31:23,192.168.12.127,UP,3
2026-08-28 21:33:12,8.8.8.8,UP,115
2026-08-28 21:33:12,1.1.1.1,UP,37
2026-08-28 21:33:12,192.168.12.127,UP,3
2026-08-28 21:34:14,8.8.8.8,UP,45
2026-08-28 21:34:14,1.1.1.1,UP,121
2026-08-28 21:34:14,192.168.1.1,DOWN,
2026-08-28 21:34:16,google.com,UP,64
2026-08-28 21:34:26,8.8.8.8,UP,42
2026-08-28 21:34:26,1.1.1.1,UP,43
2026-08-28 21:34:26,google.com,UP,141
2026-08-28 21:34:29,8.8.8.8,UP,48
2026-08-28 21:34:29,1.1.1.1,UP,32
2026-08-28 21:34:45,8.8.8.8,UP,59
2026-08-28 21:34:46,1.1.1.1,UP,49
2026-08-28 21:34:46,192.168.12.127,UP,5
2026-08-28 21:34:47,192.168.12.127,UP,4
2026-08-28 21:34:48,192.168.12.127,UP,3
2026-08-28 21:34:49,192.168.12.127,UP,5
2026-08-28 21:34:50,192.168.12.127,UP,4
2026-08-28 21:34:51,192.168.12.127,UP,7
2026-08-28 21:34:52,192.168.12.127,UP,9
2026-08-28 21:34:53,192.168.12.127,UP,27
